"Country"	"Year"	"ETH_FRAC"	"FEDERAL"	"FISC_DECEN"	"Leg_ENP"	"Govt_Parties"	"Age"	"Unemploy"	"EOGDP"	"Transfers.t1"	"PublicGoods.t1"	"Transfers2.t1"	"TotExpenditures.t1"	"TotExpenditures2.t1"	"GovCoalParSize"	"NatCabM"	"NatParM"	"NatCabB"	"NatParB"	"NatCoal"	"NatCoalPar"	"DistrictHomogeneity"	"PartyHomogeneityCab"	"PartyHomogeneityPar"	"AveMag"	"ParlSize"	"Experience"
"Poland"	2005	"0.04"	0	"16.02"	"4.26"	2	"12.46683"	"18.3"	"43.8"	"218647000000.0"	"161336000000.0"	"244832000000.0"	"475329000000.0"	"411870000000.0"	0.337	"38.274263"	"19.843733"	"42.33154055"	"21.947275639"	96.26706	32.44199922	"0.4320112"	"0.2189538"	"0.113519124"	"11.2"	"33.70"	4
"Portugal"	2002	"0.01"	0	"8.28"	"2.58"	3	"16.6087"	"5.1"	"44.3"	"28687631000.0"	17043156000	"32641515000.0"	"63422445000.0"	51777970000	0.521	"-4.574014"	"-2.647413"	"82.6298427626"	"45.398663004"	89.16352	46.45419392	"0.3618617"	"0.3717523105"	"0.2025731413"	"10.4545454545455"	"52.10"	9
"Portugal"	2005	"0.01"	0	"8.28"	"2.56"	2	"17.06557"	"7.7"	"47.6"	"33896367000.0"	22250197000	"41176717000.0"	"77413603000.0"	65767433000	0.526	"32.572455"	"30.8396"	"52.7836517988"	"49.971563798"	84.84395	44.6279177	"0.4902584"	"0.2799853333"	"0.2650901136"	"10.4545454545455"	"52.60"	10
"Slovenia"	2004	"0.18"	0	"9.15"	"4.89"	4	"15.25559"	"6.3"	"46.2"	"5836000000.0"	"4499570631.0"	"6615375000.0"	"12971421519.0"	"11182896216.0"	0.5444	"79.794879"	"43.415506"	"89.7510166644"	"49.0246808326"	97.56998	53.117097112	"0.5915369"	"0.5051725389"	"0.277650884"	"11.3"	"54.44"	3
"Spain"	1996	"0.46"	1	"17.4"	"2.72"	1	"15.64841"	"17.8"	"43.2"	"105457074914.1"	"65670000000.0"	"111509000000.0"	"223787918727.5"	"179570843813.4"	0.4457	"-22.06752"	"-9.835494"	"86.66929"	"38.628502553"	93.23538	41.555008866	"0.3904991"	"0.3105501"	"0.1384121796"	7	"44.57"	22
"Spain"	2004	"0.46"	1	"17.4"	"2.49"	1	"16.83292"	"10.6"	"38.9"	"172953000000.0"	"105473000000.0"	"208441000000.0"	"392648000000.0"	"316017000000.0"	0.4686	"41.111514"	"19.264856"	"92.978722"	"43.5698291292"	92.97872	43.569828192	"0.3997759"	"0.3341755"	"0.1565946393"	7	"46.86"	24
"Sweden"	1998	"0.14"	0	"30.18"	"4.29"	1	"17.39936"	"8.1"	"58.8"	"463693000000.0"	"385660000000.0"	"642788000000.0"	"1181039000000.0"	"1061267000000.0"	0.375	"73.606572"	"27.602465"	"78.881747"	"29.580655125"	78.88174	29.5806525	"0.6203571"	"0.5154742"	"0.193302825"	"10.7"	"37.50"	27
"Sweden"	2002	"0.14"	0	"30.18"	"4.23"	1	"17.17574"	"6.1"	"56.4"	"560537000000.0"	"448236000000.0"	"781046000000.0"	"1403153000000.0"	"1253399000000.0"	0.413	"74.456114"	"30.750375"	"76.109844"	"31.433365572"	76.10985	31.43336805	"0.5445101"	"0.488803"	"0.201875639"	"10.7"	"41.30"	28
"Switzerland"	1999	"0.59"	1	"43.21"	"5.15"	4	"15.216"	3	"34.3"	"102324307702.0"	"44861473578.0"	"69004170059.0"	"190420018668.0"	"117495923344.0"	0.865	"-186.234337"	"-125.905862"	"80.7979206219"	"67.90904143"	93.0303	80.4712095	"0.557234"	"0.4570921857"	"0.3947498385"	"7.7"	"86.50"	44
"Switzerland"	2003	"0.59"	1	"43.21"	"4.92"	4	"15.66437"	"4.3"	"36.4"	"122291088144.0"	"53919556920.0"	"69409929621.0"	"212523914792.0"	"125646393393.0"	0.855	"-118.302115"	"-99.461918"	"76.4720726004"	"64.377910115"	93.86184	80.2518732	"0.5890874"	"0.4369599143"	"0.37288351"	"7.7"	"85.50"	45
"UK"	1997	"0.39"	0	"7.91"	"2.13"	1	"15.85127"	"6.8"	"40.6"	"193801000000.0"	"117668000000.0"	"174494000000.0"	"375856000000.0"	"295994000000.0"	0.634	"-170.587089"	"-108.152214"	"91.256857"	"57.856847338"	91.25686	57.85684924	"0.4732377"	"0.3859813"	"0.2447121442"	1	"63.40"	30
"UK"	2005	"0.39"	0	"7.91"	"2.46"	1	"16.00341"	"4.8"	44	"286585000000.0"	"167052000000.0"	"327915000000.0"	"624433000000.0"	"498927000000.0"	0.5511	"-138.880664"	"-76.537134"	"89.190209"	"49.1527241799"	89.19021	49.152724731	"0.2770723"	"0.2697919"	"0.1486823161"	1	"55.11"	32
"US"	1996	"0.57"	1	"41.72"	"2.00"	1	"12.67401"	"5.4"	"36.6"	"949200000000.0"	"937600000000.0"	"1473100000000.0"	"2558175000000.0"	"2512775000000.0"	0.476	"-119.742313"	"-56.638114"	"92.407775"	"43.9861009"	92.407775	43.9861009	"0.3449324"	"0.3041735"	"0.1440261523"	1	"47.3"	93
"US"	2004	"0.57"	1	"41.72"	"2.00"	1	"12.40309"	"5.5"	36	"1415525000000.0"	"1409250000000.0"	"2261300000000.0"	"3821600000000.0"	"3768900000000.0"	0.52	"-208.394866"	"-111.074464"	"91.545027"	"47.60341404"	91.545027	47.60341404	"0.3456393"	"0.3427836"	"0.1741340688"	1	"53.3"	97
